sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0.003,0
21,0,0,0.016,0
22,0,0,0.028,0
23,0.003,0,0.039,0.003
24,0.004,0,0.06,0.01
25,0.016,0.001,0.083,0.018
26,0.025,0.003,0.11,0.028
27,0.032,0.009,0.148,0.035
28,0.042,0.015,0.179,0.05
29,0.057,0.024,0.225,0.061
30,0.07,0.031,0.265,0.08
31,0.087,0.036,0.307,0.097
32,0.101,0.044,0.344,0.116
33,0.124,0.059,0.377,0.14
34,0.144,0.07,0.413,0.162
35,0.164,0.082,0.444,0.191
36,0.191,0.093,0.47,0.224
37,0.219,0.112,0.501,0.249
38,0.239,0.131,0.529,0.288
39,0.27,0.144,0.557,0.309
40,0.287,0.164,0.584,0.35
41,0.311,0.181,0.605,0.379
42,0.333,0.207,0.629,0.411
43,0.352,0.231,0.652,0.45
44,0.373,0.256,0.674,0.48
45,0.391,0.279,0.696,0.515
46,0.405,0.309,0.718,0.546
47,0.427,0.338,0.739,0.573
48,0.443,0.358,0.752,0.602
49,0.46,0.388,0.766,0.638
50,0.474,0.415,0.78,0.67
51,0.488,0.447,0.796,0.695
52,0.502,0.472,0.81,0.721
53,0.517,0.491,0.823,0.747
54,0.532,0.52,0.83,0.769
55,0.544,0.542,0.839,0.788
56,0.56,0.562,0.853,0.806
57,0.576,0.599,0.861,0.821
58,0.582,0.619,0.874,0.836
59,0.597,0.646,0.881,0.845
60,0.606,0.666,0.885,0.862
61,0.618,0.686,0.887,0.873
62,0.63,0.701,0.891,0.891
63,0.642,0.719,0.897,0.903
64,0.657,0.741,0.9,0.914
65,0.668,0.755,0.904,0.922
66,0.676,0.773,0.907,0.929
67,0.686,0.791,0.912,0.937
68,0.7,0.799,0.914,0.949
69,0.708,0.818,0.919,0.955
70,0.718,0.829,0.921,0.963
71,0.727,0.842,0.926,0.969
72,0.734,0.856,0.931,0.97
73,0.744,0.868,0.933,0.974
74,0.753,0.874,0.935,0.978
75,0.759,0.885,0.936,0.98
76,0.763,0.888,0.939,0.981
77,0.768,0.901,0.941,0.985
78,0.776,0.91,0.942,0.986
79,0.785,0.917,0.945,0.991
80,0.79,0.92,0.945,0.992
81,0.797,0.925,0.946,0.993
82,0.802,0.932,0.949,0.995
83,0.808,0.935,0.949,0.995
84,0.813,0.941,0.952,0.995
85,0.819,0.953,0.953,0.996
86,0.819,0.953,0.955,0.997
87,0.823,0.956,0.958,0.999
88,0.829,0.959,0.958,0.999
89,0.835,0.966,0.96,0.999
90,0.837,0.969,0.96,0.999
91,0.838,0.969,0.961,0.999
92,0.842,0.971,0.961,0.999
93,0.845,0.971,0.962,1
94,0.85,0.975,0.964,1
95,0.856,0.975,0.967,1
96,0.856,0.977,0.968,1
97,0.86,0.979,0.969,1
98,0.863,0.981,0.97,1
99,0.864,0.983,0.971,1
100,0.869,0.985,0.971,1
101,0.869,0.986,0.972,1
102,0.874,0.986,0.972,1
103,0.877,0.987,0.972,1
104,0.878,0.987,0.974,1
105,0.88,0.989,0.974,1
106,0.883,0.991,0.974,1
107,0.887,0.993,0.974,1
108,0.89,0.993,0.974,1
109,0.891,0.994,0.974,1
110,0.894,0.994,0.976,1
111,0.895,0.996,0.978,1
112,0.896,0.996,0.979,1
113,0.897,0.996,0.979,1
114,0.899,0.996,0.98,1
115,0.899,0.998,0.98,1
116,0.9,0.998,0.98,1
117,0.901,0.999,0.98,1
118,0.904,0.999,0.98,1
119,0.905,0.999,0.98,1
120,0.907,0.999,0.982,1
121,0.907,0.999,0.982,1
122,0.907,1,0.982,1
123,0.91,1,0.982,1
124,0.912,1,0.982,1
125,0.914,1,0.982,1
126,0.916,1,0.982,1
127,0.916,1,0.983,1
128,0.916,1,0.983,1
129,0.916,1,0.983,1
130,0.918,1,0.983,1
131,0.918,1,0.984,1
132,0.923,1,0.984,1
133,0.924,1,0.985,1
134,0.924,1,0.985,1
135,0.925,1,0.985,1
136,0.925,1,0.985,1
137,0.926,1,0.986,1
138,0.926,1,0.986,1
139,0.927,1,0.986,1
140,0.928,1,0.986,1
141,0.928,1,0.986,1
142,0.93,1,0.987,1
143,0.932,1,0.987,1
144,0.933,1,0.987,1
145,0.933,1,0.987,1
146,0.934,1,0.987,1
147,0.935,1,0.987,1
148,0.936,1,0.987,1
149,0.936,1,0.988,1
150,0.938,1,0.988,1
