sigma,typeI,typeI_o,typeI_oc
1,0.655,0,0
2,0.655,0,0
3,0.655,0,0
4,0.655,0,0
5,0.655,0,0
6,0.655,0,0
7,0.655,0,0
8,0.655,0,0
9,0.655,0,0
10,0.655,0,0
11,0.655,0,0
12,0.655,0,0
13,0.655,0,0
14,0.655,0,0
15,0.655,0,0
16,0.655,0,0
17,0.655,0,0
18,0.655,0,0
19,0.655,0,0
20,0.655,0,0
21,0.655,0,0
22,0.655,0,0
23,0.655,0,0
24,0.655,0,0
25,0.655,0,0
26,0.655,0,0
27,0.655,0,0
28,0.655,0,0
29,0.655,0,0
30,0.655,0,0
31,0.655,0,0
32,0.655,0,0
33,0.655,0,0
34,0.655,0,0
35,0.655,0,0
36,0.655,0,0
37,0.655,0,0
38,0.655,0,0
39,0.655,0,0
40,0.655,0,0
41,0.655,0,0
42,0.655,0,0
43,0.655,0,0
44,0.655,0,0
45,0.655,0,0
46,0.655,0,0
47,0.655,0,0
48,0.655,0,0
49,0.655,0,0
50,0.655,0,0
51,0.655,0,0
52,0.655,0,0
53,0.655,0,0
54,0.655,0,0
55,0.655,0,0
56,0.655,0,0
57,0.655,0,0
58,0.655,0,0
59,0.655,0,0
60,0.655,0,0
61,0.655,0,0
62,0.655,0,0
63,0.655,0,0
64,0.655,0,0
65,0.655,0,0
66,0.655,0,0
67,0.655,0,0
68,0.655,0,0
69,0.655,0,0
70,0.655,0,0
71,0.655,0,0
72,0.655,0,0
73,0.655,0,0
74,0.655,0,0
75,0.655,0,0
76,0.655,0,0
77,0.655,0,0
78,0.655,0,0
79,0.655,0,0
80,0.655,0,0
81,0.655,0,0
82,0.655,0,0
83,0.655,0,0
84,0.655,0,0
85,0.655,0,0
86,0.655,0,0
87,0.655,0,0
88,0.655,0,0
89,0.655,0,0
90,0.655,0,0
91,0.655,0,0
92,0.655,0,0
93,0.655,0,0
94,0.655,0,0
95,0.655,0,0
96,0.655,0,0
97,0.655,0,0
98,0.655,0,0
99,0.655,0,0
100,0.655,0,0
101,0.655,0,0
102,0.655,0,0
103,0.655,0,0
104,0.655,0,0
105,0.655,0,0
106,0.655,0,0
107,0.655,0,0
108,0.655,0,0
109,0.655,0,0
110,0.655,0,0
111,0.655,0,0
112,0.655,0,0
113,0.655,0,0
114,0.655,0,0
115,0.655,0,0
116,0.655,0,0
117,0.655,0,0
118,0.655,0,0
119,0.655,0,0
120,0.655,0,0
121,0.655,0,0
122,0.655,0,0
123,0.655,0,0
124,0.655,0,0
125,0.655,0,0
126,0.655,0,0
127,0.655,0,0
128,0.655,0,0
129,0.655,0,0
130,0.655,0,0
131,0.655,0,0
132,0.655,0,0
133,0.655,0,0
134,0.655,0,0
135,0.655,0,0
136,0.655,0,0
137,0.655,0,0
138,0.655,0,0
139,0.655,0,0
140,0.655,0,0
141,0.655,0,0
142,0.655,0,0
143,0.655,0,0
144,0.655,0,0
145,0.655,0,0
146,0.655,0,0
147,0.655,0,0
148,0.655,0,0
149,0.655,0,0
150,0.655,0,0
