sigma,probtypeI
1,9.7343e-05
2,9.7343e-05
3,9.7343e-05
4,9.7343e-05
5,9.7343e-05
6,9.7343e-05
7,9.7343e-05
8,9.7343e-05
9,9.7343e-05
10,9.7343e-05
11,9.7343e-05
12,9.7343e-05
13,9.7343e-05
14,9.7343e-05
15,9.7343e-05
16,9.7343e-05
17,9.7343e-05
18,9.7343e-05
19,9.7225e-05
20,9.7107e-05
21,9.6634e-05
22,9.6195e-05
23,9.5267e-05
24,9.395e-05
25,9.2616e-05
26,9.032e-05
27,8.8632e-05
28,8.6471e-05
29,8.4057e-05
30,8.1643e-05
31,7.9482e-05
32,7.6798e-05
33,7.4941e-05
34,7.3016e-05
35,7.0551e-05
36,6.8779e-05
37,6.6347e-05
38,6.4018e-05
39,6.1637e-05
40,5.9865e-05
41,5.843e-05
42,5.718e-05
43,5.5425e-05
44,5.3264e-05
45,5.139e-05
46,5.0174e-05
47,4.8841e-05
48,4.7152e-05
49,4.6072e-05
50,4.4924e-05
51,4.3995e-05
52,4.2543e-05
53,4.1379e-05
54,3.9808e-05
55,3.839e-05
56,3.7648e-05
57,3.6044e-05
58,3.4963e-05
59,3.4254e-05
60,3.3292e-05
61,3.2617e-05
62,3.1958e-05
63,3.076e-05
64,2.973e-05
65,2.8548e-05
66,2.8042e-05
67,2.7096e-05
68,2.6033e-05
69,2.5172e-05
70,2.4024e-05
71,2.3213e-05
72,2.2234e-05
73,2.1778e-05
74,2.0782e-05
75,2.0073e-05
76,1.9499e-05
77,1.9026e-05
78,1.825e-05
79,1.7321e-05
80,1.6511e-05
81,1.6207e-05
82,1.5751e-05
83,1.516e-05
84,1.4721e-05
85,1.435e-05
86,1.3877e-05
87,1.3523e-05
88,1.3067e-05
89,1.2662e-05
90,1.2257e-05
91,1.2003e-05
92,1.1531e-05
93,1.1007e-05
94,1.0535e-05
95,1.0129e-05
96,9.7749e-06
97,9.6736e-06
98,9.3528e-06
99,9.1333e-06
100,8.9814e-06
101,8.8801e-06
102,8.7788e-06
103,8.4412e-06
104,8.171e-06
105,8.1035e-06
106,7.8334e-06
107,7.4282e-06
108,7.3269e-06
109,6.9555e-06
110,6.8205e-06
111,6.6685e-06
112,6.5841e-06
113,6.3646e-06
114,6.2633e-06
115,6.0776e-06
116,6.027e-06
117,5.875e-06
118,5.8244e-06
119,5.7738e-06
120,5.6556e-06
121,5.6556e-06
122,5.6049e-06
123,5.5543e-06
124,5.453e-06
125,5.4023e-06
126,5.3517e-06
127,5.2504e-06
128,5.2504e-06
129,5.2504e-06
130,5.2504e-06
131,5.1322e-06
132,5.0309e-06
133,5.0309e-06
134,5.0309e-06
135,4.879e-06
136,4.8283e-06
137,4.8283e-06
138,4.5751e-06
139,4.5582e-06
140,4.5076e-06
141,4.5076e-06
142,4.3556e-06
143,4.2543e-06
144,4.2037e-06
145,4.2037e-06
146,4.0855e-06
147,4.0855e-06
148,4.0349e-06
149,3.9336e-06
150,3.9336e-06
